LSOA code (2011),Unnamed: 0,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),pcd7,pcd8,pcds,dointr,doterm,usertype,oa11,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw,FID
E01000391,393,Bexley 021E,E09000004,Bexley,13.901,20043,7,0.085,18666,6,0.068,19445,6,22.158,12434,4,-0.9079999999999999,28045,9,-0.304,21106,7,22.714000000000002,13515,5,24.914,11836,4,DA159PN,DA15 9PN,DA15 9PN,198001,0,0,E00001919,E02000085,E09000004,Bexley 021E,Bexley 021,Bexley,,580998
E01000392,394,Bexley 016B,E09000004,Bexley,22.909000000000002,12119,4,0.154,10102,4,0.092,13977,5,23.61,11558,4,-0.062,16975,6,-0.21899999999999997,19900,7,31.201,6159,2,31.406999999999996,8053,3,DA161AA,DA16 1AA,DA16 1AA,201505,0,0,E00001929,E02000080,E09000004,Bexley 016B,Bexley 016,Bexley,,580913
E01000393,395,Bexley 020G,E09000004,Bexley,9.166,25584,8,0.046,27079,9,0.039,28146,9,10.425,21433,7,-0.883,27829,9,0.03,16221,5,19.378,17416,6,30.198,8692,3,DA161HP,DA16 1HP,DA16 1HP,198001,0,0,E00001913,E02000084,E09000004,Bexley 020G,Bexley 020,Bexley,,580866
E01000394,396,Bexley 015E,E09000004,Bexley,9.317,25359,8,0.075,20591,7,0.052000000000000005,24168,8,7.925,24034,8,-0.63,25082,8,-0.444,23040,8,21.590999999999998,14793,5,15.564,18759,6,DA7 4RF,DA7  4RF,DA7 4RF,198001,198112,1,E00001933,E02000079,E09000004,Bexley 015E,Bexley 015,Bexley,,585045
E01000395,397,Bexley 018B,E09000004,Bexley,5.03,30471,10,0.031,30614,10,0.03,30662,10,9.871,21972,7,-0.966,28552,9,-0.92,28429,9,17.101,20314,7,17.387999999999998,17297,6,DA162RU,DA16 2RU,DA16 2RU,198001,0,0,E00001970,E02000082,E09000004,Bexley 018B,Bexley 018,Bexley,,581324
E01000396,398,Bexley 018C,E09000004,Bexley,8.072000000000001,26986,9,0.046,27033,9,0.038,28391,9,12.869000000000002,19145,6,-0.5539999999999999,24118,8,-1.064,29577,10,20.97,15541,5,23.289,12931,4,DA162RL,DA16 2RL,DA16 2RL,198001,0,0,E00001938,E02000082,E09000004,Bexley 018C,Bexley 018,Bexley,,581254
E01000398,399,Bexley 029A,E09000004,Bexley,20.000999999999998,14343,5,0.11900000000000001,13764,5,0.106,11619,4,33.033,7431,3,-0.44799999999999995,22736,7,-0.882,28072,9,27.601,8762,3,20.399,14975,5,DA163BJ,DA16 3BJ,DA16 3BJ,198001,0,0,E00001944,E02006785,E09000004,Bexley 029A,Bexley 029,Bexley,,581473
E01000399,400,Bexley 029B,E09000004,Bexley,9.101,25650,8,0.047,26975,9,0.043,27007,9,20.401,13539,5,-1.177,30155,10,-0.452,23144,8,20.766,15753,5,22.475,13500,5,DA162RQ,DA16 2RQ,DA16 2RQ,198001,198112,1,E00001968,E02006785,E09000004,Bexley 029B,Bexley 029,Bexley,,581264
E01000400,401,Bexley 029C,E09000004,Bexley,14.705,19222,6,0.09300000000000001,17500,6,0.09,14351,5,17.028,15795,5,-0.6559999999999999,25420,8,-0.419,22683,7,17.692,19532,6,27.399,10311,4,DA163AH,DA16 3AH,DA16 3AH,200707,0,0,E00001967,E02006785,E09000004,Bexley 029C,Bexley 029,Bexley,,581452
E01000401,402,Bexley 013A,E09000004,Bexley,21.111,13478,5,0.14,11402,4,0.09699999999999999,13138,5,26.035999999999998,10305,4,-0.017,16258,5,-0.318,21288,7,25.535999999999998,10630,4,25.429000000000002,11508,4,DA163AS,DA16 3AS,DA16 3AS,199912,200609,1,E00001965,E02000077,E09000004,Bexley 013A,Bexley 013,Bexley,,581459
E01000402,403,Bexley 005B,E09000004,Bexley,23.537,11661,4,0.159,9683,3,0.106,11589,4,21.148000000000003,13047,4,-0.249,19848,7,0.336,11406,4,33.431,4861,2,20.090999999999998,15210,5,DA176EW,DA17 6EW,DA17 6EW,198001,0,0,E00001973,E02000069,E09000004,Bexley 005B,Bexley 005,Bexley,,582090
E01000403,404,Bexley 004A,E09000004,Bexley,29.529,8247,3,0.198,6803,3,0.12300000000000001,9269,3,22.344,12324,4,-0.18,18842,6,1.236,2054,1,33.367,4897,2,14.797,19398,6,DA8 1AB,DA8  1AB,DA8 1AB,198001,0,0,E00166769,E02000068,E09000004,Bexley 004A,Bexley 004,Bexley,,585841
E01000404,405,Bexley 004B,E09000004,Bexley,30.081999999999997,7988,3,0.22,5513,2,0.126,9014,3,23.039,11880,4,0.14800000000000002,13754,5,0.508,8973,3,37.505,3017,1,17.527,17187,6,DA8 1BB,DA8  1BB,DA8 1BB,200209,0,0,E00166768,E02000068,E09000004,Bexley 004B,Bexley 004,Bexley,,585604
E01000405,406,Bexley 004C,E09000004,Bexley,28.889,8556,3,0.175,8393,3,0.113,10567,4,21.194000000000003,13027,4,0.175,13397,5,0.39299999999999996,10551,4,39.923,2209,1,31.647,7916,3,DA176FJ,DA17 6FJ,DA17 6FJ,201603,0,0,E00001989,E02000068,E09000004,Bexley 004C,Bexley 004,Bexley,,582101
E01000406,407,Bexley 005C,E09000004,Bexley,23.276,11865,4,0.15,10525,4,0.084,15402,5,20.805,13265,5,-0.179,18819,6,0.633,7299,3,33.11,5018,2,25.805,11289,4,DA176FA,DA17 6FA,DA17 6FA,201507,0,0,E00001992,E02000069,E09000004,Bexley 005C,Bexley 005,Bexley,,582094
E01000407,408,Bexley 005D,E09000004,Bexley,14.648,19290,6,0.096,16991,6,0.069,18927,6,19.482,14097,5,-0.606,24785,8,-0.239,20189,7,20.98,15531,5,27.796,10078,4,DA8 1DP,DA8  1DP,DA8 1DP,198001,0,0,E00001978,E02000069,E09000004,Bexley 005D,Bexley 005,Bexley,,585918
E01000408,409,Bexley 004D,E09000004,Bexley,23.784000000000002,11511,4,0.18,8051,3,0.102,12227,4,22.215999999999998,12404,4,-0.075,17183,6,0.35100000000000003,11149,4,22.572,13676,5,29.548000000000002,9075,3,DA176BZ,DA17 6BZ,DA17 6BZ,199507,199612,1,E00001984,E02000068,E09000004,Bexley 004D,Bexley 004,Bexley,,582052
E01000409,410,Bexley 016C,E09000004,Bexley,5.938,29535,9,0.036000000000000004,29497,9,0.039,28096,9,17.739,15313,5,-1.249,30594,10,-1.23,30627,10,15.839,21886,7,14.198,19945,7,DA162HY,DA16 2HY,DA16 2HY,198001,0,0,E00002023,E02000080,E09000004,Bexley 016C,Bexley 016,Bexley,,581205
E01000410,411,Bexley 018D,E09000004,Bexley,7.496,27698,9,0.034,30071,10,0.031,30490,10,15.232000000000001,17174,6,-0.804,27041,9,-0.14800000000000002,18861,6,20.11,16515,6,18.793,16201,5,DA162LX,DA16 2LX,DA16 2LX,198001,0,0,E00002006,E02000082,E09000004,Bexley 018D,Bexley 018,Bexley,,581240
E01000411,412,Bexley 016D,E09000004,Bexley,9.621,24984,8,0.055,24914,8,0.045,26205,8,18.064,15095,5,-0.831,27296,9,-0.40700000000000003,22532,7,18.704,18229,6,24.538,12065,4,DA158PF,DA15 8PF,DA15 8PF,198001,0,0,E00002028,E02000080,E09000004,Bexley 016D,Bexley 016,Bexley,,580621
E01000412,413,Bexley 018E,E09000004,Bexley,8.605,26294,9,0.037000000000000005,29200,9,0.037000000000000005,28764,9,13.642000000000001,18470,6,-0.87,27712,9,-0.5670000000000001,24683,8,28.195,8267,3,19.754,15478,5,DA158PD,DA15 8PD,DA15 8PD,198001,0,0,E00002029,E02000082,E09000004,Bexley 018E,Bexley 018,Bexley,,580613
E01000413,414,Bexley 018F,E09000004,Bexley,10.974,23374,8,0.061,23481,8,0.048,25444,8,23.404,11670,4,-0.845,27456,9,-0.133,18643,6,20.965,15545,5,19.08,15980,5,DA158PA,DA15 8PA,DA15 8PA,198001,0,0,E00002034,E02000082,E09000004,Bexley 018F,Bexley 018,Bexley,,580556
E01000414,415,Bexley 016E,E09000004,Bexley,13.630999999999998,20333,7,0.092,17554,6,0.052000000000000005,24008,8,12.568,19437,6,-0.966,28556,9,0.47200000000000003,9448,3,20.599,15940,5,29.738000000000003,8969,3,DA162LA,DA16 2LA,DA16 2LA,199412,0,0,E00002014,E02000080,E09000004,Bexley 016E,Bexley 016,Bexley,,581225
E01000415,416,Bexley 016F,E09000004,Bexley,6.236000000000001,29162,9,0.039,28947,9,0.035,29361,9,14.993,17362,6,-1.2109999999999999,30356,10,-0.244,20251,7,14.663,23456,8,14.797,19400,6,DA162LE,DA16 2LE,DA16 2LE,198001,0,0,E00002011,E02000080,E09000004,Bexley 016F,Bexley 016,Bexley,,581228
E01000416,417,Bexley 002A,E09000004,Bexley,25.261,10611,4,0.168,8939,3,0.11,11067,4,16.656,16073,5,-0.361,21601,7,1.0659999999999998,3017,1,32.585,5338,2,15.171,19051,6,SE2 9SJ,SE2  9SJ,SE2 9SJ,198001,0,0,E00002043,E02000066,E09000004,Bexley 002A,Bexley 002,Bexley,,2016002
E01000417,418,Bexley 006B,E09000004,Bexley,19.563,14752,5,0.11199999999999999,14698,5,0.083,15673,5,17.267,15623,5,-0.35100000000000003,21466,7,0.255,12640,4,35.736999999999995,3754,2,21.215999999999998,14389,5,SE2 0QQ,SE2  0QQ,SE2 0QQ,198001,0,0,E00002050,E02000070,E09000004,Bexley 006B,Bexley 006,Bexley,,2015686
E01000418,419,Bexley 002B,E09000004,Bexley,18.667,15526,5,0.133,12222,4,0.061,21350,7,18.214000000000002,14980,5,-0.624,25008,8,0.094,15209,5,37.213,3127,1,22.374000000000002,13600,5,DA184BS,DA18 4BS,DA18 4BS,198001,0,0,E00002072,E02000066,E09000004,Bexley 002B,Bexley 002,Bexley,,582031
E01000419,420,Bexley 006C,E09000004,Bexley,8.707,26164,8,0.049,26330,9,0.045,26399,9,12.155,19802,7,-0.777,26760,9,-0.439,22967,7,23.046,13156,5,20.176,15150,5,DA7 5RA,DA7  5RA,DA7 5RA,198001,0,0,E00002062,E02000070,E09000004,Bexley 006C,Bexley 006,Bexley,,585305
E01000420,421,Bexley 006D,E09000004,Bexley,11.155,23155,8,0.073,20887,7,0.061,21236,7,22.13,12451,4,-0.76,26570,9,-0.46299999999999997,23267,8,18.607,18351,6,14.547,19605,6,DA7 5QA,DA7  5QA,DA7 5QA,198001,0,0,E00002058,E02000070,E09000004,Bexley 006D,Bexley 006,Bexley,,585300
E01000421,422,Bexley 009D,E09000004,Bexley,7.222,28043,9,0.04,28513,9,0.049,25161,8,9.262,22611,7,-0.614,24878,8,-0.69,26116,8,21.331999999999997,15095,5,14.052,20068,7,DA7 5QZ,DA7  5QZ,DA7 5QZ,198001,0,0,E00002064,E02000073,E09000004,Bexley 009D,Bexley 009,Bexley,,585252
E01000422,423,Bexley 002C,E09000004,Bexley,35.949,5556,2,0.27699999999999997,2952,1,0.159,5771,2,21.499000000000002,12851,4,0.028999999999999998,15567,5,0.6940000000000001,6578,3,42.826,1460,1,11.804,22167,7,DA184BP,DA18 4BP,DA18 4BP,198001,0,0,E00002040,E02000066,E09000004,Bexley 002C,Bexley 002,Bexley,,582029
E01000423,424,Bexley 025C,E09000004,Bexley,5.619,29890,10,0.042,28011,9,0.037000000000000005,28631,9,10.341,21509,7,-1.349,31110,10,-0.95,28696,9,16.025,21643,7,18.795,16199,5,DA146QQ,DA14 6QQ,DA14 6QQ,198001,0,0,E00002100,E02000089,E09000004,Bexley 025C,Bexley 025,Bexley,,580040
E01000424,425,Bexley 026A,E09000004,Bexley,6.789,28573,9,0.04,28623,9,0.032,30066,10,4.2410000000000005,28240,9,-1.3359999999999999,31046,10,-0.14400000000000002,18792,6,17.836,19353,6,29.816,8923,3,DA146PA,DA14 6PA,DA14 6PA,198001,0,0,E00002078,E02000090,E09000004,Bexley 026A,Bexley 026,Bexley,,580024
E01000425,426,Bexley 025D,E09000004,Bexley,6.454,28921,9,0.040999999999999995,28242,9,0.039,28237,9,8.465,23440,8,-0.545,23986,8,-1.3880000000000001,31390,10,23.715999999999998,12422,4,11.394,22580,7,DA157NW,DA15 7NW,DA15 7NW,198001,0,0,E00002097,E02000089,E09000004,Bexley 025D,Bexley 025,Bexley,,580454
E01000426,427,Bexley 026B,E09000004,Bexley,10.343,24090,8,0.077,20158,7,0.042,27287,9,11.210999999999999,20705,7,-0.843,27434,9,-0.8959999999999999,28205,9,23.026999999999997,13180,5,29.846999999999998,8907,3,DA146PR,DA14 6PR,DA14 6PR,198001,0,0,E00002081,E02000090,E09000004,Bexley 026B,Bexley 026,Bexley,,580043
E01000427,428,Bexley 026C,E09000004,Bexley,12.878,21182,7,0.086,18478,6,0.07200000000000001,18238,6,12.821,19191,6,-0.9359999999999999,28280,9,-0.466,23319,8,27.715,8676,3,17.632,17109,6,DA146AY,DA14 6AY,DA14 6AY,198001,0,0,E00002085,E02000090,E09000004,Bexley 026C,Bexley 026,Bexley,,579977
E01000428,429,Bexley 027D,E09000004,Bexley,23.903000000000002,11429,4,0.153,10238,4,0.094,13516,5,20.885,13210,5,0.369,10735,4,0.2,13499,5,34.46,4337,2,17.261,17386,6,DA146AG,DA14 6AG,DA14 6AG,198001,0,0,E00002074,E02000091,E09000004,Bexley 027D,Bexley 027,Bexley,,579857
E01000429,430,Bexley 008B,E09000004,Bexley,42.523999999999994,3591,2,0.257,3725,2,0.187,3836,2,30.708000000000002,8290,3,0.498,9119,3,0.8270000000000001,5145,2,49.187,429,1,18.42,16491,6,DA8 2AB,DA8  2AB,DA8 2AB,198001,0,0,E00002139,E02000072,E09000004,Bexley 008B,Bexley 008,Bexley,,586058
E01000430,431,Bexley 008C,E09000004,Bexley,16.489,17477,6,0.128,12720,4,0.081,16165,5,14.003,18163,6,-0.594,24645,8,-0.42,22692,7,34.21,4474,2,8.52,25612,8,DA184AD,DA18 4AD,DA18 4AD,199201,0,1,E00002111,E02000072,E09000004,Bexley 008C,Bexley 008,Bexley,,582004
E01000431,432,Bexley 008D,E09000004,Bexley,36.113,5493,2,0.256,3783,2,0.161,5651,2,30.508000000000003,8362,3,0.225,12705,4,0.452,9741,3,40.702,1994,1,18.596,16359,5,DA8 2AF,DA8  2AF,DA8 2AF,198001,0,0,E00002140,E02000072,E09000004,Bexley 008D,Bexley 008,Bexley,,586092
E01000432,433,Bexley 008E,E09000004,Bexley,24.386,11135,4,0.165,9239,3,0.111,10963,4,27.648000000000003,9543,3,-0.08,17269,6,0.377,10773,4,29.349,7401,3,17.061,17535,6,DA8 2HR,DA8  2HR,DA8 2HR,198001,0,0,E00002129,E02000072,E09000004,Bexley 008E,Bexley 008,Bexley,,586069
E01000433,434,Bexley 008F,E09000004,Bexley,35.521,5702,2,0.22399999999999998,5321,2,0.162,5553,2,28.709,9099,3,0.601,7917,3,0.684,6682,3,36.153,3559,2,19.367,15764,5,DA8 2DS,DA8  2DS,DA8 2DS,198001,0,0,E00002135,E02000072,E09000004,Bexley 008F,Bexley 008,Bexley,,586077
E01000434,435,Bexley 008G,E09000004,Bexley,38.229,4809,2,0.239,4547,2,0.18,4318,2,52.523999999999994,2803,1,0.629,7618,3,-0.15,18891,6,34.138000000000005,4507,2,18.222,16635,6,DA1 5QJ,DA1  5QJ,DA1 5QJ,198106,0,0,E00002125,E02000072,E09000004,Bexley 008G,Bexley 008,Bexley,,576158
E01000435,436,Bexley 010E,E09000004,Bexley,31.180999999999997,7461,3,0.205,6342,2,0.12300000000000001,9333,3,32.203,7738,3,-0.158,18513,6,0.615,7513,3,41.706,1726,1,19.646,15564,5,DA7 6SN,DA7  6SN,DA7 6SN,198001,0,0,E00002136,E02000074,E09000004,Bexley 010E,Bexley 010,Bexley,,585989
E01000436,437,Bexley 011E,E09000004,Bexley,5.016,30492,10,0.037000000000000005,29271,9,0.039,28291,9,13.009,19031,6,-1.169,30098,10,-1.501,31786,10,13.039000000000001,25352,8,14.9,19294,6,DA7 5HJ,DA7  5HJ,DA7 5HJ,200112,0,0,E00002146,E02000075,E09000004,Bexley 011E,Bexley 011,Bexley,,585256
E01000437,438,Bexley 007A,E09000004,Bexley,13.671,20296,7,0.08900000000000001,18119,6,0.066,19751,7,19.26,14217,5,-0.314,20868,7,-0.051,17446,6,20.570999999999998,15974,5,16.685,17833,6,DA176LN,DA17 6LN,DA17 6LN,198001,0,0,E00002160,E02000071,E09000004,Bexley 007A,Bexley 007,Bexley,,582183
E01000438,439,Bexley 007B,E09000004,Bexley,14.030999999999999,19919,7,0.09,17944,6,0.055999999999999994,22861,7,23.391,11678,4,-0.7190000000000001,26117,8,0.023,16334,5,20.997,15504,5,25.78,11304,4,DA8 1DZ,DA8  1DZ,DA8 1DZ,198001,0,0,E00002171,E02000071,E09000004,Bexley 007B,Bexley 007,Bexley,,585952
E01000439,440,Bexley 007C,E09000004,Bexley,23.787,11510,4,0.157,9846,3,0.11599999999999999,10185,4,28.584,9150,3,-0.385,21925,7,0.502,9062,3,20.007,16645,6,28.788,9522,3,DA8 1HJ,DA8  1HJ,DA8 1HJ,198001,0,0,E00002174,E02000071,E09000004,Bexley 007C,Bexley 007,Bexley,,586374
E01000440,441,Bexley 007D,E09000004,Bexley,7.749,27367,9,0.037000000000000005,29430,9,0.046,26100,8,20.482,13482,5,-1.3980000000000001,31334,10,-0.327,21428,7,16.176,21449,7,17.621,17119,6,DA7 5BN,DA7  5BN,DA7 5BN,198001,0,0,E00002150,E02000071,E09000004,Bexley 007D,Bexley 007,Bexley,,585247
E01000441,442,Bexley 007E,E09000004,Bexley,29.024,8484,3,0.215,5791,2,0.136,7866,3,31.82,7879,3,0.22699999999999998,12684,4,0.39299999999999996,10560,4,25.151,10957,4,16.815,17738,6,DA7 5ED,DA7  5ED,DA7 5ED,198001,0,0,E00002151,E02000071,E09000004,Bexley 007E,Bexley 007,Bexley,,585578
E01000442,443,Bexley 006E,E09000004,Bexley,13.895,20054,7,0.09300000000000001,17393,6,0.078,16716,6,22.116999999999997,12459,4,-0.759,26565,9,-0.6579999999999999,25746,8,21.88,14464,5,17.986,16822,6,DA176LL,DA17 6LL,DA17 6LL,198001,0,0,E00002155,E02000070,E09000004,Bexley 006E,Bexley 006,Bexley,,582178
E01000443,444,Bexley 024B,E09000004,Bexley,18.208,15949,5,0.1,16335,5,0.1,12544,4,17.594,15400,5,-0.033,16511,6,-0.344,21652,7,26.372,9834,3,23.621,12696,4,DA144NP,DA14 4NP,DA14 4NP,198001,0,0,E00002197,E02000088,E09000004,Bexley 024B,Bexley 024,Bexley,,579678
E01000444,445,Bexley 023B,E09000004,Bexley,6.832000000000001,28530,9,0.028999999999999998,30995,10,0.043,27080,9,5.754,26437,9,-1.493,31680,10,-0.179,19335,6,26.486,9722,3,14.944,19257,6,DA5 2BZ,DA5  2BZ,DA5 2BZ,198301,0,0,E00002203,E02000087,E09000004,Bexley 023B,Bexley 023,Bexley,,584059
E01000445,446,Bexley 024C,E09000004,Bexley,5.791,29687,10,0.032,30446,10,0.031,30436,10,11.347999999999999,20565,7,-1.253,30615,10,-0.474,23408,8,22.305,13961,5,12.192,21800,7,DA5 1GT,DA5  1GT,DA5 1GT,199405,199512,1,E00002202,E02000088,E09000004,Bexley 024C,Bexley 024,Bexley,,583612
E01000446,447,Bexley 024D,E09000004,Bexley,6.242999999999999,29153,9,0.037000000000000005,29208,9,0.035,29392,9,12.405,19571,6,-0.71,26028,8,-0.645,25590,8,15.505999999999998,22351,7,18.44,16476,6,DA5 3AD,DA5  3AD,DA5 3AD,200807,0,0,E00002182,E02000088,E09000004,Bexley 024D,Bexley 024,Bexley,,584117
E01000447,448,Bexley 023C,E09000004,Bexley,10.353,24076,8,0.071,21392,7,0.047,25594,8,6.153,26012,8,-0.727,26209,8,0.31,11787,4,19.879,16796,6,23.184,12996,4,DA5 1BQ,DA5  1BQ,DA5 1BQ,201401,0,0,E00002177,E02000087,E09000004,Bexley 023C,Bexley 023,Bexley,,583674
E01000448,449,Bexley 023D,E09000004,Bexley,3.1710000000000003,32132,10,0.026000000000000002,31421,10,0.027999999999999997,30971,10,3.883,28670,9,-1.0290000000000001,29057,9,-0.708,26298,9,13.282,25074,8,11.677999999999999,22292,7,DA5 1JA,DA5  1JA,DA5 1JA,198001,0,0,E00002179,E02000087,E09000004,Bexley 023D,Bexley 023,Bexley,,583894
E01000449,450,Bexley 023E,E09000004,Bexley,5.445,30072,10,0.027999999999999997,31130,10,0.034,29573,10,4.298,28169,9,-0.8240000000000001,27245,9,0.16399999999999998,14104,5,15.363,22531,7,13.959000000000001,20148,7,DA5 1BL,DA5  1BL,DA5 1BL,201711,0,0,E00002207,E02000087,E09000004,Bexley 023E,Bexley 023,Bexley,,583613
E01000450,451,Bexley 009E,E09000004,Bexley,18.048,16089,5,0.12300000000000001,13350,5,0.10300000000000001,11969,4,19.042,14365,5,-0.456,22844,7,-0.121,18452,6,25.715999999999998,10442,4,15.171,19052,6,DA161AR,DA16 1AR,DA16 1AR,199507,0,0,E00002228,E02000073,E09000004,Bexley 009E,Bexley 009,Bexley,,580976
E01000451,452,Bexley 009F,E09000004,Bexley,7.497999999999999,27695,9,0.043,27792,9,0.038,28559,9,17.165,15690,5,-0.978,28641,9,-0.735,26630,9,18.542,18442,6,20.03,15268,5,DA161DX,DA16 1DX,DA16 1DX,198001,0,0,E00002232,E02000073,E09000004,Bexley 009F,Bexley 009,Bexley,,580808
E01000452,453,Bexley 009G,E09000004,Bexley,7.478,27715,9,0.055999999999999994,24703,8,0.042,27354,9,14.165999999999999,18014,6,-0.9620000000000001,28518,9,-0.8029999999999999,27330,9,15.224,22717,7,20.561,14858,5,DA161EH,DA16 1EH,DA16 1EH,198001,0,0,E00002235,E02000073,E09000004,Bexley 009G,Bexley 009,Bexley,,580843
E01000453,454,Bexley 013B,E09000004,Bexley,8.045,27021,9,0.052000000000000005,25593,8,0.040999999999999995,27718,9,19.152,14292,5,-1.101,29599,10,-0.491,23648,8,14.788,23306,8,20.351,15019,5,DA161ER,DA16 1ER,DA16 1ER,198001,0,0,E00002237,E02000077,E09000004,Bexley 013B,Bexley 013,Bexley,,580849
E01000454,455,Bexley 013C,E09000004,Bexley,18.58,15605,5,0.11599999999999999,14201,5,0.09,14336,5,23.051,11871,4,-0.29100000000000004,20505,7,0.245,12800,4,22.405,13843,5,22.02,13839,5,DA161JY,DA16 1JY,DA16 1JY,198001,0,0,E00002213,E02000077,E09000004,Bexley 013C,Bexley 013,Bexley,,580830
E01000455,456,Bexley 013D,E09000004,Bexley,8.187999999999999,26845,9,0.049,26465,9,0.043,26843,9,15.974,16605,6,-0.887,27861,9,-0.27899999999999997,20745,7,16.22,21397,7,20.012,15283,5,DA161JZ,DA16 1JZ,DA16 1JZ,198001,0,0,E00002215,E02000077,E09000004,Bexley 013D,Bexley 013,Bexley,,580838
E01000456,457,Bexley 013E,E09000004,Bexley,6.115,29319,9,0.039,28810,9,0.040999999999999995,27598,9,12.419,19558,6,-1.2670000000000001,30688,10,-0.868,27958,9,16.809,20681,7,18.498,16429,6,DA161JU,DA16 1JU,DA16 1JU,198001,0,0,E00002221,E02000077,E09000004,Bexley 013E,Bexley 013,Bexley,,580814
E01000457,458,Bexley 026D,E09000004,Bexley,12.09,22056,7,0.081,19290,6,0.049,24996,8,13.122,18929,6,-0.47,23014,8,0.042,16014,5,24.27,11859,4,19.804000000000002,15445,5,DA144DQ,DA14 4DQ,DA14 4DQ,198001,0,0,E00002260,E02000090,E09000004,Bexley 026D,Bexley 026,Bexley,,579224
E01000458,459,Bexley 027E,E09000004,Bexley,5.631,29877,10,0.046,27089,9,0.032,30035,10,4.795,27557,9,-0.809,27098,9,-0.833,27624,9,23.136999999999997,13058,4,11.175999999999998,22803,7,DA144DG,DA14 4DG,DA14 4DG,198001,0,0,E00002258,E02000091,E09000004,Bexley 027E,Bexley 027,Bexley,,579207
E01000459,460,Bexley 027F,E09000004,Bexley,14.437999999999999,19511,6,0.121,13593,5,0.077,16908,6,10.295,21552,7,-0.455,22835,7,-0.17600000000000002,19290,6,23.98,12162,4,13.645,20454,7,DA144AA,DA14 4AA,DA14 4AA,198001,0,0,E00002264,E02000091,E09000004,Bexley 027F,Bexley 027,Bexley,,579212
E01000460,461,Bexley 022E,E09000004,Bexley,5.115,30405,10,0.034,30034,10,0.031,30271,10,8.071,23869,8,-1.412,31380,10,-0.7440000000000001,26724,9,24.721999999999998,11414,4,8.031,26137,8,DA158HD,DA15 8HD,DA15 8HD,199412,0,0,E00002268,E02000086,E09000004,Bexley 022E,Bexley 022,Bexley,,580447
E01000461,462,Bexley 024E,E09000004,Bexley,7.086,28207,9,0.037000000000000005,29233,9,0.035,29258,9,8.647,23255,8,-1.506,31722,10,-0.217,19870,7,27.514,8827,3,13.09,20963,7,DA144NN,DA14 4NN,DA14 4NN,199002,199212,1,E00002271,E02000088,E09000004,Bexley 024E,Bexley 024,Bexley,,579677
E01000462,463,Bexley 026E,E09000004,Bexley,14.325999999999999,19613,6,0.10099999999999999,16222,5,0.06,21635,7,13.872,18275,6,-0.47100000000000003,23026,8,-0.455,23182,8,23.096,13104,4,32.556,7436,3,DA144DH,DA14 4DH,DA14 4DH,198001,0,0,E00002257,E02000090,E09000004,Bexley 026E,Bexley 026,Bexley,,579210
E01000463,464,Bexley 025E,E09000004,Bexley,5.127999999999999,30387,10,0.035,29737,10,0.035,29283,9,9.061,22792,7,-0.8029999999999999,27034,9,-1.045,29454,9,15.812000000000001,21920,7,16.249000000000002,18201,6,DA158AH,DA15 8AH,DA15 8AH,198001,0,0,E00002245,E02000089,E09000004,Bexley 025E,Bexley 025,Bexley,,580654
E01000464,465,Bexley 002D,E09000004,Bexley,25.484,10479,4,0.215,5788,2,0.11699999999999999,10034,4,18.512999999999998,14767,5,-0.185,18909,6,0.057,15778,5,35.396,3897,2,11.460999999999999,22507,7,DA184AQ,DA18 4AQ,DA18 4AQ,200708,0,0,E00002309,E02000066,E09000004,Bexley 002D,Bexley 002,Bexley,,582013
E01000465,466,Bexley 002E,E09000004,Bexley,28.674,8670,3,0.225,5228,2,0.13699999999999998,7729,3,26.541999999999998,10042,4,0.065,15014,5,-0.10400000000000001,18185,6,35.338,3918,2,10.067,23999,8,DA184AE,DA18 4AE,DA18 4AE,199712,0,1,E00002308,E02000066,E09000004,Bexley 002E,Bexley 002,Bexley,,582005
E01000466,467,Bexley 001A,E09000004,Bexley,23.424,11745,4,0.183,7776,3,0.115,10289,4,18.835,14524,5,-0.319,20951,7,-0.079,17828,6,36.332,3492,2,9.394,24681,8,DA184AA,DA18 4AA,DA18 4AA,198001,0,0,E00002300,E02000065,E09000004,Bexley 001A,Bexley 001,Bexley,,582002
