,LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
1247,E01001246,Ealing 015D,E09000009,Ealing,32.021,7075,3,0.2,6690,3,0.117,10072,4,18.964,14423,5,-0.339,21266,7,0.404,10371,4,45.591,957,1,45.732,2730,1
1248,E01001247,Ealing 015E,E09000009,Ealing,21.278,13338,5,0.119,13807,5,0.063,20769,7,12.246,19726,7,-0.265,20106,7,0.348,11201,4,45.088,1041,1,28.719,9551,3
1249,E01001248,Ealing 035A,E09000009,Ealing,17.386,16655,6,0.125,13131,4,0.085,15293,5,9.809,22030,7,-0.452,22791,7,0.07,15591,5,28.422,8093,3,24.092,12350,4
1250,E01001249,Ealing 028A,E09000009,Ealing,41.534,3848,2,0.27,3202,1,0.176,4603,2,14.648,17637,6,0.573,8255,3,1.05,3142,1,40.063,2171,1,38.77,4695,2
1251,E01001250,Ealing 028B,E09000009,Ealing,37.117,5176,2,0.229,5031,2,0.188,3786,2,16.974,15835,5,0.526,8791,3,0.625,7388,3,36.613,3362,2,32.788,7305,3
1252,E01001251,Ealing 030A,E09000009,Ealing,18.709,15489,5,0.117,14071,5,0.082,15948,5,3.635,28960,9,-0.225,19495,6,0.16,14162,5,27.963,8474,3,39.924,4282,2
1253,E01001252,Ealing 030B,E09000009,Ealing,25.654,10397,4,0.165,9227,3,0.111,10890,4,9.41,22462,7,0.11,14359,5,0.113,14939,5,35.712,3767,2,38.212,4916,2
1254,E01001253,Ealing 030C,E09000009,Ealing,15.645,18300,6,0.125,13088,4,0.075,17467,6,5.68,26523,9,-0.488,23255,8,-0.514,23981,8,30.578,6546,2,24.226,12277,4
1255,E01001254,Ealing 030D,E09000009,Ealing,14.588,19351,6,0.102,16002,5,0.064,20248,7,3.72,28848,9,-0.464,22950,7,-0.279,20749,7,30.525,6591,3,29.602,9047,3
1256,E01001255,Ealing 028C,E09000009,Ealing,13.456,20547,7,0.065,22690,7,0.073,18095,6,3.266,29423,9,-0.632,25114,8,0.284,12180,4,23.694,12442,4,33.847,6767,3
1257,E01001257,Ealing 008A,E09000009,Ealing,40.826,4021,2,0.274,3087,1,0.177,4530,2,30.508,8361,3,0.229,12656,4,0.46,9623,3,49.728,358,1,21.379,14279,5
1258,E01001258,Ealing 010B,E09000009,Ealing,15.858,18071,6,0.099,16502,6,0.075,17384,6,11.29,20624,7,-0.542,23954,8,-0.221,19924,7,29.103,7572,3,29.257,9248,3
1259,E01001259,Ealing 014B,E09000009,Ealing,20.119,14241,5,0.126,13004,4,0.066,19906,7,16.107,16489,6,-0.327,21063,7,0.716,6325,2,30.366,6703,3,29.81,8926,3
1260,E01001260,Ealing 012B,E09000009,Ealing,20.741,13738,5,0.103,15940,5,0.065,20194,7,8.329,23601,8,-0.192,19014,6,1.097,2829,1,30.243,6801,3,36.628,5525,2
1261,E01001261,Ealing 012C,E09000009,Ealing,22.674,12265,4,0.126,12989,4,0.083,15618,5,14.781,17525,6,-0.676,25662,8,0.42,10172,4,38.36,2712,1,39.008,4615,2
1262,E01001262,Ealing 010C,E09000009,Ealing,31.334,7386,3,0.214,5839,2,0.129,8600,3,20.258,13626,5,-0.039,16602,6,0.58,8001,3,41.16,1884,1,28.503,9668,3
1263,E01001263,Ealing 010D,E09000009,Ealing,34.487,6069,2,0.24,4480,2,0.156,6069,2,18.18,15017,5,0.13,14028,5,0.392,10572,4,44.471,1150,1,26.171,11059,4
1264,E01001264,Ealing 010E,E09000009,Ealing,24.398,11124,4,0.14,11459,4,0.115,10354,4,23.537,11598,4,-0.787,26860,9,0.188,13699,5,39.156,2434,1,27.105,10473,4
1265,E01001265,Ealing 006A,E09000009,Ealing,20.568,13878,5,0.095,17173,6,0.076,17182,6,10.867,21016,7,-0.438,22612,7,-0.602,25096,8,56.208,42,1,21.927,13898,5
1266,E01001266,Ealing 006B,E09000009,Ealing,16.109,17834,6,0.091,17782,6,0.056,22564,7,10.11,21719,7,-0.675,25637,8,0.084,15365,5,37.866,2882,1,28.3,9785,3
1267,E01001267,Ealing 006C,E09000009,Ealing,31.849,7140,3,0.222,5389,2,0.126,8964,3,15.779,16772,6,-0.019,16286,5,0.342,11281,4,45.353,992,1,32.736,7327,3
1268,E01001268,Ealing 012D,E09000009,Ealing,18.541,15642,5,0.107,15326,5,0.082,15905,5,8.555,23351,8,0.051,15218,5,-0.032,17174,6,30.915,6343,2,30.712,8403,3
1269,E01001269,Ealing 001A,E09000009,Ealing,13.557,20420,7,0.066,22429,7,0.049,25134,8,11.358,20554,7,-1.355,31134,10,0.096,15191,5,31.507,5964,2,35.486,6024,2
1270,E01001270,Ealing 004A,E09000009,Ealing,15.651,18289,6,0.098,16649,6,0.061,21089,7,8.434,23480,8,-0.691,25838,8,0.431,10021,4,32.266,5489,2,23.806,12559,4
1271,E01001271,Ealing 001B,E09000009,Ealing,16.877,17106,6,0.117,14016,5,0.07,18816,6,18.002,15134,5,-0.864,27640,9,-0.029,17132,6,29.917,7028,3,26.154,11075,4
1272,E01001272,Ealing 006D,E09000009,Ealing,19.058,15184,5,0.099,16473,6,0.068,19371,6,7.384,24609,8,-0.418,22358,7,0.134,14590,5,40.673,2003,1,35.502,6015,2
1273,E01001273,Ealing 020F,E09000009,Ealing,9.462,25179,8,0.045,27309,9,0.033,29796,10,2.153,30721,10,-1.152,29959,10,0.07,15587,5,29.45,7339,3,30.917,8307,3
1274,E01001274,Ealing 020G,E09000009,Ealing,8.494,26422,9,0.048,26695,9,0.038,28370,9,6.53,25566,8,-1.333,31024,10,-0.668,25857,8,32.697,5265,2,18.633,16326,5
1275,E01001275,Ealing 020H,E09000009,Ealing,19.035,15212,5,0.091,17767,6,0.08,16307,5,6.142,26021,8,-0.348,21431,7,0.549,8406,3,36.436,3440,2,31.212,8150,3
1276,E01001276,Ealing 011A,E09000009,Ealing,20.56,13885,5,0.128,12785,4,0.071,18505,6,12.366,19600,6,-0.814,27154,9,-0.149,18879,6,44.773,1104,1,31.642,7917,3
1277,E01001277,Ealing 011B,E09000009,Ealing,17.535,16527,6,0.108,15248,5,0.052,24057,8,8.0,23938,8,-0.84,27401,9,-0.082,17875,6,38.916,2509,1,39.184,4553,2
1278,E01001278,Ealing 011C,E09000009,Ealing,23.769,11526,4,0.135,12032,4,0.061,21371,7,12.057,19887,7,-0.724,26175,8,0.497,9122,3,40.337,2100,1,52.502,1501,1
1279,E01001279,Ealing 013C,E09000009,Ealing,7.15,28128,9,0.028,31197,10,0.031,30278,10,0.358,32642,10,-0.877,27778,9,-0.431,22843,7,21.905,14438,5,35.101,6198,2
1280,E01001280,Ealing 011D,E09000009,Ealing,13.686,20279,7,0.079,19766,7,0.043,26889,9,6.333,25801,8,-0.886,27850,9,-0.336,21550,7,38.65,2606,1,30.658,8436,3
1281,E01001281,Ealing 013D,E09000009,Ealing,7.459,27738,9,0.041,28389,9,0.035,29439,9,0.234,32732,10,-0.929,28224,9,-0.548,24428,8,21.497,14907,5,34.729,6358,2
1282,E01001282,Ealing 016B,E09000009,Ealing,35.01,5881,2,0.237,4652,2,0.173,4733,2,18.61,14696,5,0.234,12599,4,0.069,15609,5,43.932,1250,1,26.699,10746,4
1283,E01001283,Ealing 016C,E09000009,Ealing,40.085,4237,2,0.274,3070,1,0.196,3328,2,17.047,15776,5,0.43,9942,4,0.682,6705,3,37.718,2929,1,32.592,7419,3
1284,E01001284,Ealing 022A,E09000009,Ealing,15.752,18191,6,0.076,20264,7,0.06,21528,7,9.884,21949,7,-0.513,23600,8,0.801,5409,2,23.35,12821,4,33.419,6995,3
1285,E01001285,Ealing 016D,E09000009,Ealing,23.184,11937,4,0.154,10131,4,0.116,10140,4,14.88,17435,6,-0.299,20633,7,0.146,14367,5,30.882,6363,2,30.631,8447,3
1286,E01001286,Ealing 016E,E09000009,Ealing,23.532,11665,4,0.149,10546,4,0.107,11480,4,14.007,18157,6,-0.06,16945,6,-0.023,17037,6,37.204,3131,1,27.988,9960,4
1287,E01001287,Ealing 016F,E09000009,Ealing,31.223,7443,3,0.266,3356,2,0.156,6029,2,14.981,17370,6,-0.334,21177,7,-0.25,20352,7,40.976,1936,1,19.434,15726,5
1288,E01001288,Ealing 022B,E09000009,Ealing,16.018,17925,6,0.1,16244,5,0.079,16649,6,3.032,29691,10,-0.341,21313,7,-0.173,19258,6,26.283,9905,4,37.044,5370,2
1289,E01001289,Ealing 022C,E09000009,Ealing,15.526,18420,6,0.095,17198,6,0.073,17983,6,2.553,30270,10,-0.477,23097,8,-0.404,22480,7,29.056,7609,3,38.847,4670,2
1290,E01001290,Ealing 022D,E09000009,Ealing,12.68,21401,7,0.076,20253,7,0.059,21871,7,2.638,30179,10,-0.554,24107,8,-0.269,20595,7,29.074,7590,3,31.355,8077,3
1291,E01001291,Ealing 014C,E09000009,Ealing,19.365,14947,5,0.129,12668,4,0.098,12951,4,11.864,20070,7,-0.679,25708,8,0.197,13569,5,32.568,5346,2,23.485,12793,4
1292,E01001292,Ealing 014D,E09000009,Ealing,13.864,20084,7,0.086,18580,6,0.064,20312,7,9.379,22494,7,-0.694,25859,8,-0.033,17179,6,27.63,8734,3,28.178,9852,3
1293,E01001293,Ealing 014E,E09000009,Ealing,17.362,16678,6,0.113,14558,5,0.081,16129,5,11.515,20402,7,-0.227,19535,6,-0.366,21967,7,33.573,4773,2,21.563,14137,5
1294,E01001294,Ealing 017A,E09000009,Ealing,22.485,12398,4,0.156,9962,4,0.088,14735,5,17.799,15272,5,-0.198,19112,6,0.563,8221,3,31.262,6113,2,24.131,12329,4
1295,E01001295,Ealing 017B,E09000009,Ealing,17.222,16799,6,0.124,13239,5,0.074,17877,6,11.963,19969,7,-0.416,22337,7,-0.282,20778,7,30.559,6563,2,28.311,9777,3
1296,E01001296,Ealing 017C,E09000009,Ealing,22.011,12764,4,0.14,11480,4,0.111,10911,4,16.299,16334,5,0.029,15565,5,-0.083,17892,6,30.735,6449,2,24.341,12202,4
1297,E01001297,Ealing 017D,E09000009,Ealing,23.36,11800,4,0.144,11089,4,0.11,11100,4,15.442,17023,6,0.147,13764,5,0.256,12631,4,33.311,4931,2,22.219,13709,5
1298,E01001298,Ealing 017E,E09000009,Ealing,27.974,9045,3,0.163,9364,3,0.108,11339,4,16.977,15831,5,0.808,5823,2,0.264,12486,4,35.826,3712,2,26.98,10558,4
1299,E01001299,Ealing 035B,E09000009,Ealing,8.007,27061,9,0.052,25704,8,0.049,25019,8,1.762,31148,10,-1.157,29999,10,-0.518,24028,8,22.212,14076,5,28.03,9935,4
1300,E01001300,Ealing 039A,E09000009,Ealing,8.87,25967,8,0.044,27650,9,0.037,28898,9,1.779,31126,10,-0.908,28051,9,0.198,13534,5,20.099,16524,6,34.665,6389,2
1301,E01001301,Ealing 039B,E09000009,Ealing,20.032,14321,5,0.118,13939,5,0.072,18373,6,4.637,27749,9,0.17,13468,5,0.784,5600,2,28.743,7862,3,31.044,8232,3
1302,E01001302,Ealing 039C,E09000009,Ealing,11.697,22524,7,0.059,23939,8,0.047,25527,8,1.32,31663,10,-0.946,28369,9,0.608,7617,3,23.763,12378,4,33.08,7163,3
1303,E01001303,Ealing 032A,E09000009,Ealing,9.914,24632,8,0.051,25995,8,0.034,29565,10,0.703,32340,10,-1.107,29643,10,-0.036,17243,6,21.53,14869,5,44.256,3087,1
1304,E01001304,Ealing 039D,E09000009,Ealing,14.074,19885,7,0.097,16720,6,0.069,19020,6,1.745,31172,10,-0.365,21659,7,-0.186,19436,6,24.932,11190,4,32.505,7460,3
1305,E01001305,Ealing 035C,E09000009,Ealing,7.673,27464,9,0.046,27190,9,0.049,25193,8,0.616,32428,10,-0.78,26787,9,-0.384,22230,7,20.523,16036,5,26.956,10573,4
1306,E01001306,Ealing 035D,E09000009,Ealing,8.308,26685,9,0.056,24704,8,0.033,29824,10,1.094,31918,10,-0.781,26802,9,-0.503,23851,8,21.892,14446,5,33.74,6829,3
1307,E01001307,Ealing 002A,E09000009,Ealing,11.103,23210,8,0.067,22225,7,0.041,27549,9,9.698,22160,7,-1.218,30411,10,-0.061,17560,6,28.513,8024,3,28.347,9757,3
1308,E01001308,Ealing 002B,E09000009,Ealing,11.391,22868,7,0.069,21695,7,0.034,29629,10,8.282,23663,8,-1.159,30009,10,0.0,16669,6,34.059,4546,2,23.575,12728,4
1309,E01001309,Ealing 001C,E09000009,Ealing,15.083,18839,6,0.095,17129,6,0.045,26261,8,11.311,20609,7,-0.799,26993,9,0.409,10310,4,32.069,5609,2,28.41,9719,3
1310,E01001310,Ealing 001D,E09000009,Ealing,18.59,15589,5,0.125,13133,4,0.07,18887,6,14.944,17395,6,-0.598,24685,8,-0.021,17009,6,36.342,3487,2,26.913,10605,4
1311,E01001311,Ealing 001E,E09000009,Ealing,28.942,8519,3,0.204,6423,2,0.129,8631,3,21.661,12765,4,-0.169,18668,6,-0.187,19442,6,46.917,728,1,15.225,19006,6
1312,E01001312,Ealing 002C,E09000009,Ealing,16.657,17313,6,0.105,15672,5,0.065,20043,7,11.654,20281,7,-0.799,26990,9,-0.084,17899,6,32.467,5392,2,34.068,6653,3
1313,E01001313,Ealing 002D,E09000009,Ealing,13.693,20272,7,0.089,18084,6,0.053,23881,8,8.993,22861,7,-0.962,28516,9,-0.107,18229,6,33.317,4924,2,26.825,10668,4
1314,E01001314,Ealing 002E,E09000009,Ealing,10.954,23394,8,0.063,22942,7,0.043,26919,9,7.103,24944,8,-1.005,28869,9,-0.282,20789,7,31.819,5767,2,26.547,10838,4
1315,E01001315,Ealing 003A,E09000009,Ealing,18.255,15913,5,0.123,13281,5,0.073,18107,6,14.858,17453,6,-0.712,26046,8,0.068,15621,5,37.099,3167,1,20.767,14721,5
1316,E01001316,Ealing 003B,E09000009,Ealing,31.82,7159,3,0.221,5448,2,0.133,8197,3,20.732,13312,5,0.03,15551,5,0.268,12421,4,45.312,1000,1,24.336,12205,4
1317,E01001317,Ealing 003C,E09000009,Ealing,26.465,9896,4,0.165,9180,3,0.105,11715,4,21.912,12600,4,-0.191,19001,6,0.196,13580,5,43.254,1373,1,25.08,11732,4
1318,E01001318,Ealing 003D,E09000009,Ealing,36.013,5532,2,0.247,4204,2,0.14,7458,3,23.479,11626,4,0.257,12218,4,0.813,5280,2,44.686,1112,1,22.476,13498,5
1319,E01001319,Ealing 004B,E09000009,Ealing,18.036,16095,5,0.11,14954,5,0.067,19553,6,19.152,14290,5,-0.73,26244,8,-0.401,22449,7,39.693,2291,1,23.938,12461,4
1320,E01001320,Ealing 003E,E09000009,Ealing,41.628,3831,2,0.276,3008,1,0.198,3258,1,32.285,7709,3,0.055,15160,5,0.531,8657,3,48.429,521,1,17.821,16965,6
1321,E01001321,Ealing 003F,E09000009,Ealing,26.07,10147,4,0.154,10144,4,0.119,9845,3,19.673,13967,5,-0.258,19993,7,0.49,9197,3,38.009,2829,1,26.544,10840,4
1322,E01001322,Ealing 004C,E09000009,Ealing,23.866,11458,4,0.149,10609,4,0.097,13097,4,10.133,21688,7,-0.584,24500,8,0.892,4468,2,36.608,3363,2,28.828,9488,3
1323,E01001323,Ealing 004D,E09000009,Ealing,23.054,12015,4,0.115,14242,5,0.082,15890,5,10.85,21039,7,-0.518,23670,8,1.069,3003,1,33.53,4796,2,38.444,4823,2
1324,E01001324,Ealing 008B,E09000009,Ealing,33.507,6468,2,0.183,7848,3,0.112,10813,4,15.467,17010,6,0.111,14345,5,0.945,3986,2,62.44,8,1,28.757,9534,3
1325,E01001325,Ealing 009A,E09000009,Ealing,26.632,9812,3,0.185,7688,3,0.112,10803,4,22.688,12108,4,-0.084,17325,6,0.483,9299,3,35.495,3857,2,21.094,14486,5
1326,E01001326,Ealing 008C,E09000009,Ealing,33.051,6645,3,0.194,7052,3,0.116,10134,4,18.871,14493,5,-0.188,18958,6,0.76,5840,2,55.973,45,1,28.575,9622,3
1327,E01001327,Ealing 009B,E09000009,Ealing,30.832,7636,3,0.193,7083,3,0.131,8352,3,20.931,13183,5,-0.102,17601,6,0.779,5646,2,40.946,1947,1,26.181,11053,4
1328,E01001328,Ealing 009C,E09000009,Ealing,33.629,6406,2,0.194,7035,3,0.118,9900,4,25.279,10686,4,0.051,15217,5,1.006,3476,2,46.681,781,1,27.427,10295,4
1329,E01001329,Ealing 009D,E09000009,Ealing,24.129,11307,4,0.175,8385,3,0.086,15061,5,17.717,15326,5,-0.131,18084,6,0.54,8528,3,35.962,3662,2,22.497,13480,5
1330,E01001330,Ealing 008D,E09000009,Ealing,42.882,3501,2,0.274,3074,1,0.184,4055,2,24.712,10982,4,0.08,14809,5,0.714,6356,2,57.926,24,1,28.276,9798,3
1331,E01001331,Ealing 009E,E09000009,Ealing,37.261,5126,2,0.247,4160,2,0.153,6292,2,27.114,9768,3,0.366,10772,4,0.656,7008,3,43.908,1254,1,24.514,12086,4
1332,E01001332,Ealing 008E,E09000009,Ealing,39.944,4277,2,0.267,3329,2,0.167,5214,2,22.069,12499,4,0.471,9448,3,0.367,10925,4,51.268,192,1,23.328,12905,4
1333,E01001333,Ealing 038A,E09000009,Ealing,39.653,4369,2,0.241,4439,2,0.13,8457,3,27.147,9750,3,0.416,10121,4,1.054,3121,1,43.44,1342,1,42.624,3499,2
1334,E01001334,Ealing 029C,E09000009,Ealing,41.199,3919,2,0.291,2510,1,0.186,3959,2,30.338,8418,3,0.275,11978,4,0.142,14437,5,46.939,724,1,24.286,12229,4
1335,E01001335,Ealing 038B,E09000009,Ealing,20.851,13665,5,0.126,12952,4,0.08,16325,5,8.406,23514,8,-0.262,20069,7,0.488,9227,3,32.081,5600,2,37.209,5307,2
1336,E01001336,Ealing 038C,E09000009,Ealing,24.895,10825,4,0.168,8938,3,0.109,11222,4,12.757,19259,6,-0.165,18611,6,0.124,14749,5,38.493,2662,1,30.278,8640,3
1337,E01001337,Ealing 029D,E09000009,Ealing,35.728,5627,2,0.174,8454,3,0.145,7034,3,14.713,17574,6,0.363,10810,4,1.298,1763,1,48.911,463,1,26.615,10801,4
1338,E01001338,Ealing 029E,E09000009,Ealing,27.178,9484,3,0.139,11605,4,0.123,9251,3,13.632,18481,6,0.144,13820,5,-0.019,16980,6,47.053,705,1,28.287,9790,3
1339,E01001339,Ealing 029F,E09000009,Ealing,35.644,5657,2,0.238,4587,2,0.164,5412,2,20.452,13506,5,-0.018,16283,5,0.074,15510,5,52.214,139,1,21.201,14401,5
1340,E01001340,Ealing 029G,E09000009,Ealing,38.035,4859,2,0.212,5984,2,0.207,2802,1,23.628,11544,4,0.272,12033,4,0.646,7130,3,45.268,1016,1,17.38,17307,6
1341,E01001341,Ealing 005A,E09000009,Ealing,12.828,21235,7,0.084,18915,6,0.044,26680,9,13.276,18804,6,-0.978,28639,9,-0.484,23546,8,30.821,6406,2,30.068,8760,3
1342,E01001342,Ealing 005B,E09000009,Ealing,14.813,19108,6,0.088,18234,6,0.046,25836,8,10.377,21480,7,-0.754,26515,9,-0.536,24268,8,34.858,4143,2,37.215,5306,2
1343,E01001343,Ealing 005C,E09000009,Ealing,15.378,18564,6,0.1,16248,5,0.075,17453,6,13.832,18303,6,-0.955,28455,9,-0.364,21952,7,30.926,6331,2,24.681,11982,4
1344,E01001344,Ealing 007A,E09000009,Ealing,18.422,15761,5,0.137,11817,4,0.08,16409,5,8.17,23760,8,-0.759,26564,9,-0.539,24323,8,42.382,1569,1,18.319,16570,6
1345,E01001345,Ealing 005D,E09000009,Ealing,17.505,16547,6,0.12,13736,5,0.078,16887,6,15.741,16798,6,-0.539,23916,8,-0.494,23693,8,34.111,4518,2,23.053,13089,4
1346,E01001346,Ealing 007B,E09000009,Ealing,12.0,22171,7,0.094,17336,6,0.051,24317,8,6.268,25877,8,-1.175,30139,10,-0.446,23063,8,26.036,10147,4,32.148,7638,3
1347,E01001347,Ealing 007C,E09000009,Ealing,18.682,15517,5,0.102,16051,5,0.052,24089,8,13.833,18300,6,-0.792,26925,9,-0.019,16975,6,44.378,1166,1,33.278,7063,3
1348,E01001348,Ealing 007D,E09000009,Ealing,19.431,14879,5,0.143,11126,4,0.066,19815,7,8.322,23615,8,-0.657,25440,8,0.271,12378,4,31.265,6112,2,39.249,4524,2
1349,E01001349,Ealing 006E,E09000009,Ealing,33.598,6422,2,0.176,8310,3,0.127,8877,3,17.264,15627,5,0.301,11611,4,1.167,2426,1,46.091,875,1,27.964,9977,4
1350,E01001350,Ealing 027C,E09000009,Ealing,16.166,17789,6,0.084,18818,6,0.075,17460,6,1.95,30949,10,-0.337,21236,7,0.104,15074,5,33.95,4593,2,31.435,8031,3
1351,E01001351,Ealing 025E,E09000009,Ealing,28.006,9030,3,0.162,9506,3,0.101,12440,4,4.474,27948,9,0.131,14015,5,1.295,1779,1,34.369,4389,2,37.51,5164,2
1352,E01001352,Ealing 027D,E09000009,Ealing,15.249,18684,6,0.102,16005,5,0.052,24190,8,2.971,29772,10,-0.934,28257,9,0.254,12667,4,27.464,8859,3,42.501,3529,2
1353,E01001353,Ealing 033A,E09000009,Ealing,23.368,11787,4,0.139,11564,4,0.085,15297,5,12.049,19889,7,-0.059,16931,6,0.372,10853,4,37.894,2876,1,34.772,6344,2
1354,E01001354,Ealing 027E,E09000009,Ealing,22.226,12592,4,0.122,13494,5,0.068,19182,6,6.533,25559,8,0.559,8393,3,0.721,6276,2,27.019,9259,3,38.929,4636,2
1355,E01001355,Ealing 033B,E09000009,Ealing,24.463,11088,4,0.148,10681,4,0.112,10752,4,6.797,25256,8,0.236,12558,4,0.304,11884,4,31.268,6111,2,37.503,5170,2
1356,E01001356,Ealing 033C,E09000009,Ealing,45.936,2863,1,0.329,1455,1,0.243,1511,1,28.467,9204,3,0.398,10349,4,0.283,12199,4,39.508,2348,1,20.31,15042,5
1357,E01001357,Ealing 033D,E09000009,Ealing,41.995,3722,2,0.309,1967,1,0.164,5423,2,11.708,20224,7,0.37,10722,4,0.748,5962,2,48.975,455,1,33.513,6946,3
1358,E01001358,Ealing 033E,E09000009,Ealing,45.789,2888,1,0.321,1649,1,0.176,4547,2,26.512,10055,4,0.186,13255,5,0.064,15681,5,56.626,37,1,42.7,3481,2
1359,E01001359,Ealing 026A,E09000009,Ealing,24.895,10824,4,0.142,11215,4,0.087,14832,5,22.798,12033,4,-0.197,19090,6,0.381,10722,4,41.985,1663,1,27.801,10074,4
1360,E01001360,Ealing 026B,E09000009,Ealing,29.132,8447,3,0.146,10898,4,0.092,13956,5,21.044,13107,4,-0.153,18442,6,1.548,931,1,37.448,3041,1,31.857,7797,3
1361,E01001361,Ealing 023E,E09000009,Ealing,34.209,6178,2,0.181,7997,3,0.113,10560,4,27.214,9727,3,-0.078,17239,6,1.246,1992,1,44.631,1122,1,35.826,5884,2
1362,E01001362,Ealing 026C,E09000009,Ealing,29.18,8413,3,0.157,9883,4,0.118,9968,4,28.674,9112,3,0.102,14478,5,0.313,11752,4,42.106,1634,1,29.131,9305,3
1363,E01001363,Ealing 026D,E09000009,Ealing,26.151,10083,4,0.145,10992,4,0.09,14262,5,29.966,8578,3,-0.249,19863,7,0.521,8782,3,41.98,1664,1,24.888,11861,4
1364,E01001364,Ealing 026E,E09000009,Ealing,42.16,3672,2,0.305,2060,1,0.182,4173,2,26.234,10192,4,0.499,9100,3,0.497,9115,3,44.941,1067,1,21.625,14106,5
1365,E01001365,Ealing 026F,E09000009,Ealing,28.015,9026,3,0.153,10206,4,0.111,10857,4,21.762,12694,4,0.287,11803,4,-0.139,18727,6,46.057,882,1,27.449,10286,4
1366,E01001366,Ealing 037A,E09000009,Ealing,28.541,8743,3,0.169,8896,3,0.121,9610,3,23.968,11371,4,-0.019,16295,5,-0.096,18079,6,44.999,1059,1,28.086,9902,4
1367,E01001367,Ealing 037B,E09000009,Ealing,30.306,7890,3,0.189,7376,3,0.096,13159,5,30.711,8289,3,-0.308,20769,7,0.52,8784,3,45.048,1051,1,33.395,7008,3
1368,E01001368,Ealing 037C,E09000009,Ealing,28.942,8520,3,0.163,9381,3,0.133,8181,3,22.136,12448,4,-0.041,16643,6,0.709,6405,2,38.289,2745,1,25.458,11500,4
1369,E01001369,Ealing 038D,E09000009,Ealing,24.898,10823,4,0.146,10895,4,0.08,16380,5,25.564,10535,4,-0.314,20875,7,0.261,12541,4,41.216,1867,1,33.505,6950,3
1370,E01001370,Ealing 037D,E09000009,Ealing,25.905,10253,4,0.14,11500,4,0.094,13529,5,27.555,9582,3,-0.202,19162,6,0.699,6518,2,38.48,2664,1,26.362,10948,4
1371,E01001371,Ealing 037E,E09000009,Ealing,27.142,9509,3,0.166,9089,3,0.103,12084,4,28.866,9032,3,-0.214,19349,6,0.325,11557,4,41.879,1690,1,23.791,12569,4
1372,E01001372,Ealing 037F,E09000009,Ealing,31.007,7551,3,0.189,7368,3,0.13,8569,3,30.116,8511,3,-0.061,16957,6,0.162,14125,5,46.818,744,1,21.061,14521,5
1373,E01001373,Ealing 037G,E09000009,Ealing,26.285,9995,4,0.173,8567,3,0.095,13434,5,27.34,9677,3,-0.004,16085,5,0.081,15401,5,38.127,2793,1,28.311,9779,3
1374,E01001374,Ealing 040A,E09000009,Ealing,11.21,23089,8,0.074,20771,7,0.049,24950,8,1.561,31381,10,-0.584,24513,8,-0.119,18426,6,28.056,8380,3,27.078,10491,4
1375,E01001375,Ealing 034A,E09000009,Ealing,5.53,29992,10,0.032,30403,10,0.021,32163,10,0.339,32659,10,-1.248,30589,10,0.161,14149,5,18.216,18843,6,22.455,13521,5
1376,E01001376,Ealing 040B,E09000009,Ealing,23.916,11416,4,0.19,7281,3,0.13,8441,3,10.964,20932,7,-0.238,19691,6,-0.063,17584,6,30.575,6550,2,22.953,13161,5
1377,E01001377,Ealing 034B,E09000009,Ealing,8.237,26779,9,0.042,28165,9,0.024,31828,10,0.765,32280,10,-1.425,31434,10,0.072,15546,5,24.633,11489,4,34.286,6557,2
1378,E01001379,Ealing 034C,E09000009,Ealing,6.511,28867,9,0.038,29004,9,0.026,31485,10,0.218,32750,10,-0.943,28346,9,-0.242,20225,7,20.958,15555,5,29.001,9384,3
1379,E01001380,Ealing 040C,E09000009,Ealing,12.501,21610,7,0.084,18864,6,0.045,26362,9,1.271,31710,10,-0.793,26940,9,-0.142,18771,6,31.622,5894,2,32.757,7320,3
1380,E01001381,Ealing 034D,E09000009,Ealing,18.031,16099,5,0.123,13279,5,0.078,16853,6,3.378,29282,9,-0.568,24297,8,-0.196,19561,6,29.008,7648,3,43.327,3337,2
1381,E01001382,Ealing 032B,E09000009,Ealing,8.388,26572,9,0.029,30908,10,0.023,31902,10,0.381,32624,10,-0.935,28270,9,0.202,13466,5,21.884,14458,5,37.871,5043,2
